sitios,Raja radiata,Raja naevus,Raja undulata,Raja clavata,Raja microocellata,Raja brachyura,Raja montagui,Torpedo marmorata,Torpedo nobiliana,Squalus acanthias,Scyliorhinus canicula,Scyliorhinus stellaris,Mustelus mustelus,Mustelus asterias,Galeorhinus galeus,Anguilla anguilla,Conger conger,Gadus morhua,Melanogrammus aeglefinus,Merlangius merlangus,Trisopterus minutus,Trisopterus luscus,Pollachius pollachius,Molva molva,Ciliata mustela,Rhinonemus cimbrius,Gaidropsarus mediterraneus,Gaidropsarus vulgaris,Raniceps raninus,Merluccius merluccius,Coryphaenoides rupestris,Lophius piscatorius,Gasterosteus aculeatus,Syngnathus acus,Syngnathus rostellatus,Entelurus aequoreus,Hippocampus ramulosus,Hippocampus hippocampus,Capros aper,Spondyliosoma cantharus,Mullus surmuletus,Cepola rubescens,Dicentrarchus labrax,Labrus mixtus,Labrus bergylta,Centrolabrus exoletus,Ctenolabrus rupestris,Crenilabrus melops,Zoarces viviparus,Pholis gunnellus,Chirolophis ascanii,Lumpenus lumpretaeformis,Echiichthys vipera,Trachinus draco,Blennius ocellaris,Parablennius gattorugine,Diplecogaster bimaculata,Perciformes sp,Gobius paganellus,Gobius niger,Gobius gasteveni,Lesueurigobius friesii,Solea solea,Buglossidium luteum,Solea lascaris,Microchirus variegatus,Pleuronectes platessa,Platichthys flesus,Limanda limanda,Microstomus kitt,Glyptocephalus cynoglossus,Hippoglossoides platessoides,Hippoglossus hippoglossus,Scophthalmus rhombus,Scophthalmus maximus,Lepidorhombus whiffiagonis,Phrynorhombus regius,Phrynorhombus norvegicus,Zeugopterus punctatus,Arnoglossus laterna,Arnoglossus imperialis,Trigla lucerna,Aspitrigla cuculus,Eutrigla gurnardus,Trigloporus lastoviza,Myxocephalus scorpius,Taurulus bubalis,Agonus cataphractus,Cyclopterus lumpus,Liparis liparis,Zeus faber,Mola mola,Chelon labrosus,zona
S45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0556,62.5013,4.93062,0,0,0,0,0,0,0,0,0,0.97125,0,1.17906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91812,0,0,0,0,0,0,0,0,27.2213,0,82.7072,0,0,2.77813,0,0,0,0,0,1.38688,0,0.97125,0,0,0,12.2216,0,0,0,0.97125,0,0,0,0,0,East Central North Sea
S46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96625,35,0,0,0,0,0,0,0,0,0,0,0,0,0.97125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97125,0,0,0,0,0,0,0,0,3.64656,0,48.8534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8247,0,0,0,0,0,0,0,0,0,East Central North Sea
S47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.1681,36.1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16813,0,0,0,0,0,0,0,0,2.33188,0,366.332,2.33188,0,17.5,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,3.5,0,0,0,0,0,East Central North Sea
S96,0,0,0,6,0,8,2,0,0,0,10,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31.5,0,0,0,0,1,34,0,13,2,0,0,1,0,0,0,2,0,0,0,0,0,16,0,2,5,5,0,0,0,0,0,0,1,0,0,Eastern Irish Sea
S97,0,1,0,8.2,0,2,8,0,0,0,2.25,0,0,0,0,0,0,0,0,5.5,12.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0,0,0,0,0,26,2.33333,0,0,0,40.4444,0,6,0,0,5,127.8,1,6.6,37.4,0,330.2,0,0,0,0,1.8,0,0,0,0,0,55.6,0,2,1,23.8,0,0,1,3.5,0,0,0,0,0,Eastern Irish Sea
S98,0,0,0,38,0,1,0,0,0,0,4,5,0,0,0,0,0,4,0,1,138,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,0,0,0,0,1,38,0,74,1,0,2,1,0,0,0,0,0,0,0,1,0,5,0,0,3,2,0,1,1,2,0,0,0,0,0,Eastern Irish Sea
S99,0,0,0,25,0,6,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eastern Irish Sea
S100,0,0,0,25.5,0,0,0,0,0,0,8.5,0,0,0,0,0,0,1,0,32,33.5,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,5,207,0,1,6,0,401.5,0,0,0,0,6,1,0,0,0,0,2,0,1,0,15,0,0,0,0,0,0,0,0,0,Eastern Irish Sea
S101,0,0,0,8,0,0,1,0,0,0,4.75,0,0,0,0,0,0,7.66667,0,35.75,16.6667,4,0,0,1,0,0,0,0,0,0,0,0,3.5,21.5,0,0,0,0,10,1,0,0,0,0,0,3,8.33333,0,0,0,0,1,0,0,0,0,56.2,0,0,0,0,22.25,969,0,1,17.75,0,345.25,0,0,0,0,2,0,0,0,0,0,14.25,0,2,0,10.25,0,0,1,3,0,0,0,0,0,Eastern Irish Sea
S102,0,0,0,1,0,0,3,0,0,0,11,0,0,0,0,0,0,2,0,18,11,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0,0,23.5,0,0,0,0,0,77,0,2,2,0,38,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,Eastern Irish Sea
S103,0,0,0,11,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,57,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,9,0,0,0,0,3,187,0,0,14,0,73,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,Eastern Irish Sea
S104,0,1,0,5.6,0,0,8,0,0,0,10.25,2,0,2.6,0,0,0,0,0,2.5,36.75,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,2,0,0,0,0,2.5,0,1,1.5,0,1,0,0,3.8,4.33333,0,0,0,32.75,0,1.5,0,0,2.5,117.2,2.2,4.5,9.2,0,29.8,0,0,0,0,1.33333,0,0,0,1,0,18,0,1,4,22.4,0,1,2,5.5,0,0,0,0,0,Eastern Irish Sea
S105,0,0,0,2,0,0,10,0,0,0,17,0,0,0,0,0,0,3,0,3,262,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,66,0,0,0,0,4,15,1,54,2,0,5,0,0,0,0,0,0,0,0,2,0,19,0,0,9,1,0,0,0,1,0,0,0,0,0,Eastern Irish Sea
S106,0,0,0,1,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,1,136,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,50,0,0,0,0,2,14,0,31,1,0,4,1,0,0,0,0,0,0,2,2,0,16,0,1,24,6,0,0,0,1,0,0,1,0,0,Eastern Irish Sea
S107,0,0,0,21,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,33,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,489,1,2,16,0,28,0,0,0,0,0,0,0,0,0,0,23,0,1,0,7,0,0,0,0,1,0,0,0,0,Eastern Irish Sea
S108,0,1,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,2,0,36,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,6,6,0,6,14,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,Eastern Irish Sea
S109,0,3,0,0,0,1,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,21.5,0,0,0,0,1,28,0,15,17,0,18,0,0,0,0,0,0,0,0,0,0,7,0,1,0,41,0,0,0,2,0,0,0,0,0,Eastern Irish Sea
S110,0,0,0,1,0,0,5.66667,0,0,0,30.5,1,0,0,0,0,0,1,0,3.33333,12,0,0,0,0,0,0,0,0,1,0,0,0,5.66667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,13,0,2.5,0,0,36,0,0,0,0,3,39,0,23,19,0,44.25,4.66667,0,0,0,1,0,0,0,0,0,8.5,0,1,9.66667,52,0,1,0,6.5,0,0,1,0,0,Eastern Irish Sea
S111,0,0,0,2,0,0,2,0,0,0,10,6,0,0,0,0,0,0,0,2,41,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0,4,215,0,2,7,0,59,0,0,0,0,1,1,0,0,1,0,9,0,0,3,26,0,2,1,1,0,0,0,0,0,Eastern Irish Sea
S112,0,2,0,0,0,4,6,0,0,0,9,0,0,0,0,0,0,4,0,1,193,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,5,0,0,6,12,0,3,4,0,0,0,0,0,0,0,2,0,0,0,0,10,11,0,0,0,0,2,0,3,0,0,Eastern Irish Sea
S113,0,0,0,3.66667,0,0,2.33333,0,0,0,7.57143,0,0,0,0,0,0,4.75,0,20.7143,12,7.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,70.1111,0,0,0,0,27,54.1429,0,5,56.4286,0,178.143,0,0,0,0,1,0,0,0,1,0,4.2,0,2,0,9,0,0,0,5.25,1,0,0,0,0,Eastern Irish Sea
S114,0,2,0,1.66667,0,2.75,5,0,0,0,12.5,1,0,0,0,0,0,0,0,5.5,68,5,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66667,0,0,0,0,36.4,0,0,0,0,17.25,0,0,3,67,0,74,3.5,0,0,0,1.5,0,0,0,0,0,1.5,0,3.66667,3.25,45.75,0,0,0,11.3333,0,0,2,0,0,Eastern Irish Sea
S115,0,0,0,11.25,0,1,2,0,0,0,13.6,0,0,0,0,0,0,4,0,50.2,47.8,6.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.4286,0,0,0,0,37.4545,0,0,0,0,303.286,251.429,0,0,71.8571,24,177.571,1,0,0,0,1,0,0,0,0,0,27.2857,0,6.5,0,52.1667,0,3,0,8.85714,1,0,0,0,0,Eastern Irish Sea
S116,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,6.5,0,0,0,0,86,24,0,0,85,0,32,0,0,0,0,6,1,0,0,0,0,25,0,4,0,65,0,0,0,1,0,0,0,0,0,Eastern Irish Sea
S117,0,0,0,2.66667,0,0,2,0,0,0,4,0,0,0,0,0,0,5.25,0,34,41,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20.75,0,0,0,0,32.6667,0,0,0,0,103.5,2.66667,0,0,191.25,0,159.5,2,0,0,0,5,0,0,0,2,0,6.5,0,9.75,0,37.25,0,13,6,23,0,0,2,0,0,Eastern Irish Sea
S118,0,0,0,2,0,0,0,0,0,0,6.66667,0,0,0,0,0,0,4,0,4,109.25,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,37.2,0,0,0,0,49.5,0,0,0,59.25,0,66.5,6,0,0,0,1.33333,0,0,0,0,0,2.66667,0,2,2,16.5,0,15.25,4.5,22.75,0,0,1,0,0,Eastern Irish Sea
S119,0,0,0,1.5,0,0,0,0,0,0,6.5,0,0,2,0,0,0,1.8,0,9.66667,41.8333,1.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5,0,0,2,0,0,0,0,28.1,0,0,0,0,68.4286,2,0,0,115.143,0,159.429,2.66667,0,0,0,1.5,1,0,0,1,0,2.6,0,5.57143,1,13.4286,0,15,1.25,27.8571,0,0,1,0,0,Eastern Irish Sea
S120,0,0,0,3.5,0,2,1.66667,0,0,0,10,0,0,0,0,0,0,7,0,31,17.5,5,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,134.857,0,0,0,0,40.4545,0,0,0,0,77.4286,21.8571,0,0,93.2857,2,198.571,0,0,0,0,2,0,0,0,0,0,5.16667,0,4.42857,0,16.6667,0,2,0,6.14286,0,0,0,0,0,Eastern Irish Sea
S121,0,2,0,4.66667,0,1,2.8,0,0,0,2,0,0,0,0,0,0,0,0,9.25,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7143,0,0,0,0,14.625,0,0,0,0,33.1429,12,0,0,117.429,0,207.714,0,0,0,0,2.6,0,0,0,0,0,5.71429,0,2,0,31.4286,0,0,0,3,0,0,0,0,0,Eastern Irish Sea
S122,0,0,0,3.33333,0,1,3,0,0,0,3,0,0,0,0,0,0,98,0,6.5,92,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,59.7143,0,0,0,0,37.5,47.5,0,0,178.5,24,810,0,0,0,0,3,0,0,0,0,0,15,0,3.5,0,18.3333,0,0,0,3,0,0,0,0,0,Eastern Irish Sea
S123,0,0,0,5.33333,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14.6667,0,0,0,0,51,16,0,1,92.75,0,39,0,0,0,0,2,0,0,0,0,0,6,0,1.5,2,67.25,0,0,0,4,0,0,0,0,0,Eastern Irish Sea
S124,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.8,0,51.6667,17.6667,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,9.42857,0,0,0,0,21,31,0,0,29.4286,10,26.1429,0,0,0,0,1.25,1,0,0,0,0,26,0,3.5,0,5,0,0,0,34.5714,0,0,0,0,0,Eastern Irish Sea
S125,0,0,0,2,0,0,0,0,0,0,1.5,0,0,0,0,0,0,22.6667,0,34.8,45.75,10.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,71.4,208.8,0,0,22.2,0,80,0,0,0,0,0,0,0,0,0,0,20.8,0,3.5,0,13.8,0,0,0,78.8,0,0,0,0,0,Eastern Irish Sea
S126,0,0,0,2.75,0,0,7,0,0,0,1,0,0,0,0,0,0,8,0,51.6,17.6,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,8.8,0,0,0,0,93.4,272,0,0,131.4,3,127.4,0,0,0,0,0,0,0,0,0,0,10,0,4.5,0,9.8,0,0,0,34.2,0,0,0,0,0,Eastern Irish Sea
S127,0,0,0,1.5,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,36.25,17,10,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33333,0,0,0,0,75.5,111.5,0,0,82,5,54.5,0,0,0,0,0,0,0,0,0,0,8.5,0,7.66667,0,15.75,0,0,0,29,0,0,0,0,0,Eastern Irish Sea
S128,0,0,0,2,0,0,0,0,0,0,10.8,0,0,0,0,0,0,16.1667,0,73.4286,17.8,8.75,0,0,1,0,0,0,0,0,0,0,0,2.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,70.8571,0,0,0,0,124,314.286,0,0,131.286,4.28571,223.143,0,0,0,0,1,0,0,0,0,0,23.5714,0,16.6667,0,17.5,0,0,0,69.4286,0,0,0,0,0,Eastern Irish Sea
S129,0,0,0,1,0,0,1,0,0,0,3.33333,0,0,0,0,0,0,9.33333,0,40.5714,21.5714,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,39.2857,0,0,0,0,93.5714,138,0,0,36.5714,0,167.571,0,0,0,0,0,0,0,0,0,0,34.1429,0,8.33333,0,9.42857,0,0,0,27,0,0,0,0,0,Eastern Irish Sea
S130,0,0,0,3.5,0,0,0,0,0,0,7.5,0,0,0,0,0,0,12,0,11,13,10.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.75,0,0,0,0,28.6667,0,0,0,0,81.25,237.25,0,0,117.5,3,124.75,0,0,0,0,1.5,0,0,0,0,0,17,0,7.25,0,13.75,0,0,0,7.66667,0,0,0,0,0,Eastern Irish Sea
S131,0,0,0,4,0,0,0,0,0,0,8.75,0,0,0,0,0,0,5,0,20.8,34.6667,3.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.2857,0,0,0,0,28.2222,0,0,0,0,93.5714,116.143,0,0,133.143,0,281.143,0,0,0,0,1.33333,0,0,0,0,0,44,0,15,0,35.2857,0,0,0,20.1667,1,0,0,0,0,Eastern Irish Sea
S132,0,0,0,7.16667,0,0,1,0,0,0,18.1667,1,1,1,0,0,2,3.25,0,25,96,10.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,101.222,0,0,0,0,201,227.4,0,0,127.143,1,390.714,0,0,0,0,0,0,0,0,0,0,25.6667,0,8.16667,0,10.4286,0,5,1,7.5,0,0,2,0,0,Eastern Irish Sea
S133,0,0,0,14,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,40,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,18.3333,0,0,0,0,157,28,0,1,154.333,0,109.667,0,0,0,0,5,1,0,0,0,0,28.6667,0,4.33333,0,55.6667,0,0,0,5.5,0,0,0,0,0,Eastern Irish Sea
S134,0,1,0,1,0,0,0,0,0,0,1.66667,0,0,0,0,0,0,1.66667,0,32.7143,53,37,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.625,0,0,0,0,11.1429,19.5714,0,1,9.28571,0,21.7143,0,0,0,0,1,0,0,0,2,0,10.8333,0,2.6,0,14.8571,0,0,0,11,0,0,2,0,0,Eastern Irish Sea
S135,0,0,0,3.5,0,0,0,0,0,0,2.33333,0,0,0,0,0,0,3,0,23,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71429,0,0,0,0,32.2857,15.5,0,2.66667,11.7143,0,47.2857,0,0,0,0,0,0,0,0,0,0,6.71429,0,3.25,0,15.1429,0,0,0,8.71429,0,0,0,0,0,Eastern Irish Sea
S136,0,0,0,7.66667,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,11.5,9.25,3.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,19.25,4,0,5.66667,13,0,47.25,0,1,0,0,2,0,0,0,4,0,14.5,0,2.5,0,6.25,0,0,0,26.25,0,0,0,0,0,Eastern Irish Sea
S137,0,0,0,14.5,0,0,0,0,0,0,6,0,0,0,2,0,0,4,0,10.5,56.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,0,0,0,212.75,100.75,0,3,65.75,0,227.25,0,0,0,0,0,2,0,0,0,0,20.75,0,7.33333,0,34.5,0,0,0,3,0,0,2,0,0,Eastern Irish Sea
S138,0,0,0,5,0,0,1.25,0,0,0,3,0,0,0,0,0,0,0,0,7.2,17,3.5,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,29.8182,0,0,0,0,27.1429,3,0,6.42857,30.5714,0,24.5714,3,0,0,0,1.5,1.33333,0,0,0,0,20.1429,0,5.28571,2,25.4286,0,0,0,27.7143,0,0,0,0,0,Eastern Irish Sea
S139,0,0,0,14,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,2,117,7,0,2,0,0,0,0,0,0,0,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,137.714,0,0,0,0,49,4,0,7.25,21.25,0,44.25,10.5,0,0,0,0,0,0,0,1,0,16.25,0,5.75,5.33333,8.25,0,2,0,21.75,0,0,1,0,0,Eastern Irish Sea
S140,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,9.83333,1.5,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,48.8571,0,0,0,0,25.5714,87.1429,0,1.5,112.857,0,61.5714,1,2,0,0,2.4,1.5,0,0,0,0,23,0,4.83333,0,12.2857,0,0,0,17.8571,1,0,0,0,0,Eastern Irish Sea
S141,0,0,0,2,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,66,8.5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5,0,0,0,0,5,31.5,0,0,18,0,16,0,0,0,0,2,1,0,0,0,0,23.5,0,4.25,0,14,0,0,0,2.5,0,0,0,0,0,Eastern Irish Sea
S142,0,0,0,1,0,0,1,0,0,0,3.5,0,0,0,0,0,0,4.8,0,6.66667,44.4,23.6667,0,1,0,0,0,1,0,0,0,1,0,10.3333,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,44,0,0,0,0,18.3333,25.3333,0,0,70.5,0,12,4.4,0,0,0,0,0,0,0,11.6667,4.66667,16,0,3.75,0,6.25,0,4.8,2,23.8333,0,1.5,0,0,0,Eastern Irish Sea
S143,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2.33333,12,11.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,2.66667,1,0,0,1.33333,0,3.25,0,0,0,0,0,1,0,0,0,0,1.5,0,1.5,0,0,0,0,0,2,0,0,0,0,0,Eastern Irish Sea
S144,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.5,1.5,2,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,2,0,4,0,1,0,0,1,1.5,0,0,0,0,1.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,Eastern Irish Sea
S145,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.66667,1,0,0,10,0,4.33333,0,1,0,0,0,1,0,0,0,0,1.5,0,3,0,1.75,0,0,0,0,0,0,0,0,0,Eastern Irish Sea
S146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,9.33333,34.5,2.33333,0,0,1,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,0,14.75,55,0,5,26.25,0,90,0,0,0,0,2,0,0,0,0,0,17.3333,0,3.66667,0,12.5,0,0,0,15.3333,0,0,0,0,0,Eastern Irish Sea
S147,0,0,0,1,0,0,2,0,0,0,6.66667,0,0,0,0,0,0,13.25,0,8.66667,83,40.75,2,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,21.4,0,0,0,0,15.75,53,0,1,34.75,0,30.5,0,0,0,0,1,0,0,0,6,0,29,0,4.5,0,13.5,0,2,0,12.75,0,0,0,0,0,Eastern Irish Sea
S148,0,0,0,1,0,0,1.5,0,0,0,2.8,0,0,0,0,0,0,3.66667,0,4.16667,39.8,14.5,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.2857,0,0,0,0,14.5714,36.5,0,0,60.7143,1,93.1429,5.5,0,0,0,2,1.33333,0,0,1,2,20.6667,0,2.66667,0,5.2,0,0,0,9,0,0,0,0,0,Eastern Irish Sea
S149,0,0,0,8.75,0,0,1.5,0,0,0,7.71429,0,0,1,0,0,1,1.5,0,14,3,4,0,0,0,0,0,0,0,1,0,1.5,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.125,0,0,0,0,2,62.7143,0,0,53.2857,0,59.7143,2,0,0,0,4,0,0,0,0,0,1,0,1,0,13.8571,0,0,0,10.5714,0,0,0,0,0,Eastern Irish Sea
